Zip,Lat,Lon,AccessibilityMetric
6213BJ,50.840753,5.6762,0.19086513453076487
6213BK,50.839667,5.674417,0.15965174348839095
6213BL,50.837478,5.672491,0.11914680214425445
6213BP,50.838066,5.672188,0.1258704222657942
6213BR,50.838026,5.671089,0.12158134478405756
6213BS,50.838453,5.671059,0.12689252135306117
6213BT,50.838898,5.669422,0.12637130647486436
6213BV,50.838915,5.671523,0.1347922893407662
6213CA,50.842164,5.677739,0.2360450929409411
6213CB,50.841676,5.676378,0.21205257224610963
6213CC,50.840543,5.674458,0.17530399161362728
6213CD,50.841454,5.675595,0.20090630487388159
6213CE,50.840409,5.67487,0.17541388118290632
6213CG,50.842793,5.67638,0.23739486972209806
6213CH,50.840791,5.673187,0.17169061892364687
6213CJ,50.839339,5.669607,0.13249110239508985
6213CK,50.842044,5.673986,0.19956253254797252
6213CN,50.839979,5.671207,0.14815975170641493
6213CP,50.839794,5.668886,0.13508268660947778
6213CR,50.840592,5.672087,0.16189728389952127
6213CS,50.840243,5.669969,0.14572185783076924
6213CT,50.840295,5.669838,0.1457716077509822
6213CV,50.840243,5.668975,0.14101030556068947
6213CW,50.840703,5.66845,0.14420993186330866
6213EB,50.838572,5.665473,0.10964945337282445
6213EC,50.838588,5.665521,0.10994677818775685
6213EG,50.835633,5.658282,0.0720686965520811
6213EJ,50.835638,5.660437,0.07531935340416342
6213EM,50.840147,5.666753,0.13024385142132008
6213EN,50.840143,5.666749,0.13018402755526168
6213EP,50.839902,5.666288,0.12578467413827613
6213ER,50.839864,5.666217,0.12511520330303888
6213ES,50.83948,5.665185,0.11752505028995561
6213ET,50.839463,5.664916,0.11645321926501491
6213EV,50.837293,5.665439,0.0977032113100725
6213EW,50.837443,5.66525,0.09859291618579952
6213EX,50.838502,5.663972,0.10471637286743282
6213EZ,50.839111,5.664248,0.11100701240478947
6213GA,50.84333,5.677765,0.26655899847450076
6213GB,50.841726,5.670416,0.16865289507557232
6213GC,50.837624,5.65968,0.08759385093791504
6213GD,50.83468,5.652464,0.05909607961042273
6213GE,50.837909,5.661679,0.0940325725980766
6213GG,50.837814,5.662832,0.09596965785212172
6213GH,50.837967,5.662625,0.09671888509360908
6213GJ,50.836335,5.660634,0.08039450651926573
