Zip,Lat,Lon
6213AJ,50.841184,5.678761
6213AK,50.84035,5.677609
6213AL,50.8403,5.676924
6213AM,50.838318,5.674206
6213AP,50.840066,5.676029
6213BA,50.841306,5.677538
6213BB,50.840362,5.676234
6213BD,50.83936,5.674396
6213BE,50.8376,5.672616
6213BG,50.843119,5.678928
6213BH,50.84172,5.677678
6213BJ,50.840753,5.6762
6213BK,50.839667,5.674417
6213BL,50.837478,5.672491
6213BP,50.838066,5.672188
6213BR,50.838026,5.671089
6213BS,50.838453,5.671059
6213BT,50.838898,5.669422
6213BV,50.838915,5.671523
6213CA,50.842164,5.677739
6213CB,50.841676,5.676378
6213CC,50.840543,5.674458
6213CD,50.841454,5.675595
6213CE,50.840409,5.67487
6213CG,50.842793,5.67638
6213CH,50.840791,5.673187
6213CJ,50.839339,5.669607
6213CK,50.842044,5.673986
6213CN,50.839979,5.671207
6213CP,50.839794,5.668886
6213CR,50.840592,5.672087
6213CS,50.840243,5.669969
6213CT,50.840295,5.669838
6213CV,50.840243,5.668975
6213CW,50.840703,5.66845
6213EB,50.838572,5.665473
6213EC,50.838588,5.665521
6213EG,50.835633,5.658282
6213EJ,50.835638,5.660437
6213EM,50.840147,5.666753
6213EN,50.840143,5.666749
6213EP,50.839902,5.666288
6213ER,50.839864,5.666217
6213ES,50.83948,5.665185
6213ET,50.839463,5.664916
6213EV,50.837293,5.665439
6213EW,50.837443,5.66525
6213EX,50.838502,5.663972
6213EZ,50.839111,5.664248
6213GA,50.84333,5.677765
6213GB,50.841726,5.670416
6213GC,50.837624,5.65968
6213GD,50.83468,5.652464
6213GE,50.837909,5.661679
6213GG,50.837814,5.662832
6213GH,50.837967,5.662625
6213GJ,50.836335,5.660634
6213GK,50.835355,5.662009
6213GL,50.837274,5.661099
6213GM,50.836817,5.659138
6213GP,50.836428,5.657775
6213GR,50.835103,5.660201
6213GS,50.834668,5.660323
6213GV,50.835746,5.66426
6213GW,50.834667,5.661572
6213GX,50.836027,5.65971
6213GZ,50.835957,5.659284
6213HD,50.833181,5.66154
6213HE,50.834269,5.656484
6213HG,50.83283,5.658796
6213HH,50.833544,5.657199
6213HK,50.834875,5.653879
6213HL,50.834465,5.654147
6213HN,50.834271,5.653012
6213HP,50.834195,5.652037
6213HR,50.833931,5.6527
6213HS,50.833636,5.651902
6213HT,50.83372,5.651436
6213HV,50.833696,5.653635
6213HW,50.833651,5.653082
6213HX,50.833253,5.652015
6213HZ,50.833325,5.650743
6213JA,50.832771,5.655793
6213JB,50.831799,5.658196
6213JC,50.833236,5.655657
6213JD,50.832124,5.65849
6213JG,50.833116,5.653839
6213JH,50.832811,5.654049
6213JK,50.832334,5.653967
6213JL,50.83257,5.653863
6213JN,50.832202,5.65462
6213JP,50.831885,5.654647
6213JR,50.831536,5.655916
6213JS,50.831514,5.657739
6213JT,50.831288,5.655666
6213JV,50.831121,5.657602
6213JW,50.831969,5.655142
6213JX,50.832137,5.656213
6213JZ,50.831999,5.656498
6213KA,50.831579,5.657096
6213KB,50.831844,5.657106
6213KD,50.831949,5.653186
6213KE,50.831329,5.65392
6213KG,50.832473,5.653242
6213NA,50.834764,5.674017
6213NB,50.823311,5.668299
6213NC,50.834022,5.671056
6213NE,50.833425,5.66762
6214AA,50.849021,5.675458
6214AB,50.849007,5.677515
6214AC,50.849056,5.677386
6214AD,50.848267,5.678148
6214AE,50.846968,5.679172
6214AG,50.845388,5.680399
6214AH,50.846833,5.678809
6214AJ,50.847748,5.678017
6214AK,50.847496,5.677898
6214AL,50.847724,5.676828
6214AM,50.848231,5.677115
6214AN,50.848783,5.67588
6214AP,50.847147,5.677504
6214AR,50.84707,5.677099
6214AS,50.846341,5.6776
6214AT,50.846785,5.678158
6214AV,50.846329,5.676776
6214AW,50.845914,5.679317
6214AX,50.844917,5.679152
6214AZ,50.845854,5.678869
6214BA,50.844363,5.679048
6214BB,50.844323,5.679433
6214BC,50.843723,5.676888
6214BD,50.843029,5.674062
6214BE,50.841608,5.668779
6214BG,50.843571,5.674941
6214BH,50.844814,5.680699
6214DA,50.848831,5.673515
6214PA,50.848122,5.672945
6214PB,50.848501,5.672772
6214PC,50.848244,5.675944
6214PD,50.848393,5.674536
6214PE,50.848347,5.675311
6214PG,50.847877,5.673928
